No,Daerah,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,Zona
1,A001,Y,Y,Y,Y,Y,Y,76%,"0,11",4%,"-0,13",Y,Y,Y,Y,KUNING
2,A002,Y,T,Y,Y,Y,T,12%,"0,13",1%,"0,1",Y,T,Y,Y,MERAH
3,A003,Y,Y,Y,Y,Y,Y,23%,0,2%,"0,19",Y,Y,Y,Y,ORANGE
4,A004,Y,Y,Y,Y,Y,Y,79%,"0,12",2%,"-0,04",T,Y,T,Y,KUNING
5,A005,Y,Y,Y,T,Y,Y,90%,"0,06",5%,"-0,11",Y,Y,Y,T,KUNING
6,A006,Y,T,T,Y,Y,Y,10%,0,8%,"-0,13",Y,Y,Y,Y,ORANGE
7,A007,T,T,Y,Y,Y,T,64%,"0,03",5%,"0,11",Y,Y,Y,Y,ORANGE
8,A008,Y,T,Y,Y,Y,Y,47%,"0,13",1%,"0,03",Y,Y,Y,Y,ORANGE
9,A009,T,Y,Y,Y,Y,Y,91%,"0,13",5%,"0,2",Y,T,T,Y,KUNING
10,A010,Y,Y,Y,Y,Y,Y,30%,"0,18",9%,"-0,1",T,Y,Y,Y,ORANGE
11,A011,T,Y,T,Y,T,Y,22%,"0,17",4%,"0,18",Y,Y,Y,Y,MERAH
12,A012,T,Y,Y,Y,Y,T,41%,0,8%,0,Y,Y,Y,Y,ORANGE
13,A013,T,T,T,Y,Y,Y,93%,"0,12",1%,"0,15",Y,Y,Y,Y,KUNING
14,A014,Y,T,Y,Y,Y,Y,33%,"0,04",1%,"0,03",Y,Y,Y,T,ORANGE
15,A015,Y,T,Y,Y,Y,T,50%,"0,18",6%,"0,11",T,Y,T,Y,MERAH
16,A016,Y,Y,Y,Y,Y,T,29%,"0,2",9%,"0,12",Y,T,Y,Y,MERAH
17,A017,T,Y,Y,Y,Y,Y,51%,"0,19",5%,"0,12",Y,Y,Y,Y,ORANGE
18,A018,Y,Y,Y,Y,Y,Y,1%,"0,17",2%,"0,13",Y,Y,Y,Y,MERAH
19,A019,Y,Y,T,Y,T,Y,72%,"0,13",3%,"-0,14",T,Y,Y,Y,KUNING
20,A020,T,T,Y,Y,Y,T,71%,"0,15",10%,"0,12",Y,Y,Y,Y,ORANGE
21,A021,Y,T,T,Y,Y,Y,41%,"0,01",3%,"0,04",Y,Y,T,Y,ORANGE
22,A022,Y,T,Y,T,Y,Y,0%,0,0%,"-0,01",Y,Y,Y,T,MERAH
23,A023,Y,T,Y,T,Y,Y,22%,0,10%,"-0,09",Y,Y,Y,Y,ORANGE
24,A024,T,Y,Y,Y,Y,Y,27%,"0,08",4%,"0,17",Y,T,Y,Y,MERAH
25,A025,T,Y,Y,Y,T,Y,43%,"0,18",10%,"0,05",T,Y,Y,Y,ORANGE
26,A026,T,Y,Y,Y,T,Y,39%,"0,02",3%,"0,1",T,Y,T,Y,MERAH
27,A027,T,Y,Y,Y,Y,T,88%,"0,08",3%,"0,03",Y,Y,Y,Y,KUNING
28,A028,Y,T,T,Y,T,Y,66%,"0,1",8%,"-0,09",Y,T,Y,Y,KUNING
29,A029,Y,Y,T,Y,Y,Y,6%,"0,11",8%,"-0,15",Y,Y,T,T,MERAH
30,A030,Y,Y,Y,T,Y,Y,18%,"0,15",5%,"-0,06",Y,Y,Y,T,MERAH
31,A031,Y,Y,Y,Y,Y,Y,78%,"0,2",10%,"0,07",T,Y,Y,Y,KUNING
32,A032,Y,T,Y,Y,Y,T,36%,"0,06",2%,"-0,15",Y,T,Y,Y,ORANGE
33,A033,Y,T,Y,Y,T,T,71%,"0,17",8%,"0,08",Y,Y,Y,Y,ORANGE
34,A034,Y,Y,Y,Y,T,T,85%,"0,11",5%,"0,05",Y,Y,T,Y,KUNING
35,A035,Y,Y,Y,Y,T,Y,67%,"0,14",4%,"0,15",Y,Y,Y,Y,KUNING
36,A036,Y,Y,T,Y,T,Y,54%,"0,2",2%,"0,11",Y,Y,T,Y,MERAH
37,A037,Y,T,T,Y,Y,Y,33%,"0,04",0%,"0,19",Y,Y,Y,T,MERAH
38,A038,Y,T,T,Y,Y,Y,12%,"0,16",4%,"-0,02",T,T,Y,Y,MERAH
39,A039,Y,Y,Y,T,Y,Y,0%,"0,04",2%,"0,03",Y,Y,Y,Y,MERAH
40,A040,Y,Y,Y,T,Y,Y,46%,"0,16",9%,"0,1",Y,Y,Y,Y,ORANGE
41,A041,T,Y,Y,Y,T,T,63%,"0,09",3%,"0,14",Y,Y,Y,T,ORANGE
42,A042,T,Y,Y,Y,Y,T,57%,"0,03",9%,"-0,03",Y,Y,T,Y,KUNING
43,A043,T,T,Y,Y,Y,Y,67%,"0,15",2%,"-0,01",Y,T,Y,Y,ORANGE
44,A044,T,Y,T,Y,T,Y,1%,"0,04",6%,"-0,03",Y,Y,Y,Y,MERAH
45,A045,Y,Y,T,Y,Y,Y,61%,"0,06",9%,"-0,04",Y,Y,Y,T,KUNING
46,A046,Y,Y,Y,T,Y,Y,32%,"0,09",10%,"0,07",Y,Y,Y,Y,ORANGE
47,A047,Y,Y,Y,T,T,Y,79%,"0,08",6%,"0,05",Y,Y,T,Y,KUNING
48,A048,T,Y,Y,Y,T,Y,73%,"0,17",3%,"0,11",T,T,Y,Y,ORANGE
49,A049,Y,T,T,Y,Y,T,25%,"0,01",4%,"-0,04",Y,Y,Y,T,MERAH
50,A050,Y,Y,T,Y,Y,Y,64%,"0,06",2%,0,Y,Y,Y,Y,KUNING
51,A051,Y,Y,Y,Y,Y,Y,18%,"0,06",3%,"-0,03",Y,Y,Y,Y,ORANGE
52,A052,T,Y,Y,Y,T,Y,81%,"0,11",7%,"0,08",Y,Y,Y,Y,KUNING
53,A053,Y,Y,T,Y,T,Y,26%,"0,19",1%,"0,16",Y,Y,T,T,MERAH
54,A054,Y,Y,Y,Y,T,Y,63%,"0,15",4%,"0,05",Y,T,Y,Y,ORANGE
55,A055,Y,Y,Y,Y,Y,Y,58%,"0,07",9%,"0,17",Y,Y,Y,Y,KUNING
56,A056,T,Y,T,Y,Y,T,100%,"0,11",1%,"0,03",Y,Y,Y,Y,KUNING
57,A057,Y,T,Y,T,Y,T,26%,"0,13",3%,"-0,04",Y,Y,Y,Y,MERAH
58,A058,Y,Y,Y,T,T,Y,18%,"0,11",3%,"0,04",Y,Y,T,T,MERAH
59,A059,Y,Y,Y,Y,Y,Y,88%,"0,13",8%,"0,04",Y,Y,T,Y,KUNING
60,A060,T,Y,Y,Y,Y,Y,6%,"0,13",6%,"0,05",Y,T,Y,Y,MERAH
61,A061,T,Y,Y,Y,T,Y,21%,"0,2",1%,"-0,02",T,T,Y,Y,MERAH
62,A062,T,Y,T,Y,T,Y,69%,"0,2",7%,"0,16",Y,T,Y,T,MERAH
63,A063,Y,Y,T,Y,Y,T,20%,"0,03",8%,"-0,01",Y,Y,Y,Y,ORANGE
64,A064,Y,Y,Y,Y,Y,T,75%,"0,16",8%,"-0,02",Y,Y,Y,Y,KUNING
65,A065,Y,T,Y,Y,Y,Y,77%,"0,03",2%,"0,03",Y,Y,T,Y,KUNING
66,A066,Y,T,Y,T,T,Y,2%,"0,15",9%,"-0,13",Y,Y,Y,T,MERAH
67,A067,Y,Y,Y,Y,T,Y,54%,"0,02",3%,"0,17",Y,T,Y,Y,ORANGE
