No,Daerah,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,Zona
1,A001,1,1,1,1,1,1,0.76,0.11,0.04,-0.13,1,1,1,1,KUNING
2,A002,1,0,1,1,1,0,0.12,0.13,0.01,0.1,1,0,1,1,MERAH
3,A003,1,1,1,1,1,1,0.23,0.0,0.02,0.19,1,1,1,1,ORANGE
4,A004,1,1,1,1,1,1,0.79,0.12,0.02,-0.04,0,1,0,1,KUNING
5,A005,1,1,1,0,1,1,0.9,0.06,0.05,-0.11,1,1,1,0,KUNING
6,A006,1,0,0,1,1,1,0.1,0.0,0.08,-0.13,1,1,1,1,ORANGE
7,A007,0,0,1,1,1,0,0.64,0.03,0.05,0.11,1,1,1,1,ORANGE
8,A008,1,0,1,1,1,1,0.47,0.13,0.01,0.03,1,1,1,1,ORANGE
9,A009,0,1,1,1,1,1,0.91,0.13,0.05,0.2,1,0,0,1,KUNING
10,A010,1,1,1,1,1,1,0.3,0.18,0.09,-0.1,0,1,1,1,ORANGE
11,A011,0,1,0,1,0,1,0.22,0.17,0.04,0.18,1,1,1,1,MERAH
12,A012,0,1,1,1,1,0,0.41,0.0,0.08,0.0,1,1,1,1,ORANGE
13,A013,0,0,0,1,1,1,0.93,0.12,0.01,0.15,1,1,1,1,KUNING
14,A014,1,0,1,1,1,1,0.33,0.04,0.01,0.03,1,1,1,0,ORANGE
15,A015,1,0,1,1,1,0,0.5,0.18,0.06,0.11,0,1,0,1,MERAH
16,A016,1,1,1,1,1,0,0.29,0.2,0.09,0.12,1,0,1,1,MERAH
17,A017,0,1,1,1,1,1,0.51,0.19,0.05,0.12,1,1,1,1,ORANGE
18,A018,1,1,1,1,1,1,0.01,0.17,0.02,0.13,1,1,1,1,MERAH
19,A019,1,1,0,1,0,1,0.72,0.13,0.03,-0.14,0,1,1,1,KUNING
20,A020,0,0,1,1,1,0,0.71,0.15,0.1,0.12,1,1,1,1,ORANGE
21,A021,1,0,0,1,1,1,0.41,0.01,0.03,0.04,1,1,0,1,ORANGE
22,A022,1,0,1,0,1,1,0.0,0.0,0.0,-0.01,1,1,1,0,MERAH
23,A023,1,0,1,0,1,1,0.22,0.0,0.1,-0.09,1,1,1,1,ORANGE
24,A024,0,1,1,1,1,1,0.27,0.08,0.04,0.17,1,0,1,1,MERAH
25,A025,0,1,1,1,0,1,0.43,0.18,0.1,0.05,0,1,1,1,ORANGE
26,A026,0,1,1,1,0,1,0.39,0.02,0.03,0.1,0,1,0,1,MERAH
27,A027,0,1,1,1,1,0,0.88,0.08,0.03,0.03,1,1,1,1,KUNING
28,A028,1,0,0,1,0,1,0.66,0.1,0.08,-0.09,1,0,1,1,KUNING
29,A029,1,1,0,1,1,1,0.06,0.11,0.08,-0.15,1,1,0,0,MERAH
30,A030,1,1,1,0,1,1,0.18,0.15,0.05,-0.06,1,1,1,0,MERAH
31,A031,1,1,1,1,1,1,0.78,0.2,0.1,0.07,0,1,1,1,KUNING
32,A032,1,0,1,1,1,0,0.36,0.06,0.02,-0.15,1,0,1,1,ORANGE
33,A033,1,0,1,1,0,0,0.71,0.17,0.08,0.08,1,1,1,1,ORANGE
34,A034,1,1,1,1,0,0,0.85,0.11,0.05,0.05,1,1,0,1,KUNING
35,A035,1,1,1,1,0,1,0.67,0.14,0.04,0.15,1,1,1,1,KUNING
36,A036,1,1,0,1,0,1,0.54,0.2,0.02,0.11,1,1,0,1,MERAH
37,A037,1,0,0,1,1,1,0.33,0.04,0.0,0.19,1,1,1,0,MERAH
38,A038,1,0,0,1,1,1,0.12,0.16,0.04,-0.02,0,0,1,1,MERAH
39,A039,1,1,1,0,1,1,0.0,0.04,0.02,0.03,1,1,1,1,MERAH
40,A040,1,1,1,0,1,1,0.46,0.16,0.09,0.1,1,1,1,1,ORANGE
41,A041,0,1,1,1,0,0,0.63,0.09,0.03,0.14,1,1,1,0,ORANGE
42,A042,0,1,1,1,1,0,0.57,0.03,0.09,-0.03,1,1,0,1,KUNING
43,A043,0,0,1,1,1,1,0.67,0.15,0.02,-0.01,1,0,1,1,ORANGE
44,A044,0,1,0,1,0,1,0.01,0.04,0.06,-0.03,1,1,1,1,MERAH
45,A045,1,1,0,1,1,1,0.61,0.06,0.09,-0.04,1,1,1,0,KUNING
46,A046,1,1,1,0,1,1,0.32,0.09,0.1,0.07,1,1,1,1,ORANGE
47,A047,1,1,1,0,0,1,0.79,0.08,0.06,0.05,1,1,0,1,KUNING
48,A048,0,1,1,1,0,1,0.73,0.17,0.03,0.11,0,0,1,1,ORANGE
49,A049,1,0,0,1,1,0,0.25,0.01,0.04,-0.04,1,1,1,0,MERAH
50,A050,1,1,0,1,1,1,0.64,0.06,0.02,0.0,1,1,1,1,KUNING
51,A051,1,1,1,1,1,1,0.18,0.06,0.03,-0.03,1,1,1,1,ORANGE
52,A052,0,1,1,1,0,1,0.81,0.11,0.07,0.08,1,1,1,1,KUNING
53,A053,1,1,0,1,0,1,0.26,0.19,0.01,0.16,1,1,0,0,MERAH
54,A054,1,1,1,1,0,1,0.63,0.15,0.04,0.05,1,0,1,1,ORANGE
55,A055,1,1,1,1,1,1,0.58,0.07,0.09,0.17,1,1,1,1,KUNING
56,A056,0,1,0,1,1,0,1.0,0.11,0.01,0.03,1,1,1,1,KUNING
57,A057,1,0,1,0,1,0,0.26,0.13,0.03,-0.04,1,1,1,1,MERAH
58,A058,1,1,1,0,0,1,0.18,0.11,0.03,0.04,1,1,0,0,MERAH
59,A059,1,1,1,1,1,1,0.88,0.13,0.08,0.04,1,1,0,1,KUNING
60,A060,0,1,1,1,1,1,0.06,0.13,0.06,0.05,1,0,1,1,MERAH
61,A061,0,1,1,1,0,1,0.21,0.2,0.01,-0.02,0,0,1,1,MERAH
62,A062,0,1,0,1,0,1,0.69,0.2,0.07,0.16,1,0,1,0,MERAH
63,A063,1,1,0,1,1,0,0.2,0.03,0.08,-0.01,1,1,1,1,ORANGE
64,A064,1,1,1,1,1,0,0.75,0.16,0.08,-0.02,1,1,1,1,KUNING
65,A065,1,0,1,1,1,1,0.77,0.03,0.02,0.03,1,1,0,1,KUNING
66,A066,1,0,1,0,0,1,0.02,0.15,0.09,-0.13,1,1,1,0,MERAH
67,A067,1,1,1,1,0,1,0.54,0.02,0.03,0.17,1,0,1,1,ORANGE
68,A068,0,1,1,1,1,1,0.89,0.09,0.06,0.16,1,1,1,1,KUNING
69,A069,1,1,1,1,1,1,0.63,0.07,0.05,0.17,1,1,1,1,KUNING
70,A070,1,1,1,1,1,1,0.52,0.05,0.07,0.14,0,1,1,1,ORANGE
71,A071,1,1,1,1,0,1,0.45,0.11,0.01,-0.04,1,1,1,1,ORANGE
72,A072,1,1,1,1,0,0,0.28,0.04,0.08,-0.12,1,1,1,0,ORANGE
73,A073,0,0,1,0,0,0,0.61,0.05,0.07,0.02,1,1,1,1,ORANGE
74,A074,1,1,1,0,1,1,0.76,0.09,0.02,0.03,1,0,1,1,KUNING
75,A075,1,1,1,1,1,1,0.04,0.2,0.02,-0.04,0,1,0,0,MERAH
76,A076,0,1,1,1,1,1,0.88,0.12,0.07,0.18,1,1,1,1,KUNING
77,A077,1,1,1,1,1,1,0.05,0.09,0.01,-0.11,1,1,1,1,ORANGE
78,A078,1,0,0,1,0,1,0.78,0.03,0.05,-0.12,1,1,1,1,KUNING
79,A079,1,1,1,1,1,1,0.2,0.02,0.09,0.16,1,0,0,0,MERAH
80,A080,0,1,1,1,1,0,0.0,0.15,0.09,-0.14,0,1,1,1,MERAH
81,A081,0,1,1,0,1,1,0.49,0.14,0.03,0.04,1,1,1,1,ORANGE
82,A082,1,1,1,0,1,1,0.95,0.17,0.07,0.04,1,1,0,1,KUNING
83,A083,1,0,1,1,0,1,0.52,0.11,0.05,-0.15,1,1,1,1,KUNING
84,A084,0,1,1,1,1,1,0.46,0.15,0.05,-0.02,1,0,1,0,ORANGE
85,A085,0,1,1,1,1,1,0.25,0.13,0.01,-0.12,1,0,1,1,ORANGE
86,A086,1,1,1,1,0,1,0.78,0.07,0.08,0.2,0,1,1,1,KUNING
87,A087,1,1,1,1,1,1,0.84,0.17,0.08,-0.15,1,1,1,1,KUNING
88,A088,1,1,1,1,1,0,0.04,0.14,0.08,-0.02,1,1,0,0,MERAH
89,A089,1,1,1,0,1,1,0.96,0.17,0.03,0.16,1,1,1,1,KUNING
90,A090,1,1,0,1,0,1,0.1,0.06,0.06,-0.12,1,1,1,1,ORANGE
91,A091,0,1,1,1,1,1,0.53,0.17,0.09,-0.07,1,0,1,1,KUNING
92,A092,0,0,1,1,1,1,0.93,0.07,0.03,-0.03,0,1,1,1,KUNING
93,A093,1,1,1,1,1,0,0.41,0.08,0.1,-0.11,1,1,0,1,KUNING
94,A094,1,1,1,0,0,1,0.2,0.12,0.09,0.08,1,1,1,0,MERAH
95,A095,1,1,1,1,1,1,0.92,0.19,0.09,-0.1,1,1,1,1,KUNING
96,A096,0,1,1,1,1,1,0.97,0.09,0.1,-0.02,1,1,1,1,KUNING
97,A097,1,1,1,1,1,0,0.23,0.17,0.0,0.11,0,1,1,1,MERAH
98,A098,0,1,1,1,0,1,0.15,0.12,0.03,0.04,1,1,0,1,MERAH
99,A099,1,0,1,0,1,1,0.21,0.14,0.07,-0.14,1,1,1,1,ORANGE
100,A100,0,1,0,1,1,1,0.47,0.17,0.08,0.0,1,1,0,1,ORANGE
